Gender,Mother tongue,State,Locaton of school (R/U),School type,Parent's income (in lpa),Percentage in 12th grade,Average number of hours studied per day ,Selection (Y/N)
Male,Hindi,Madhya Pradesh,Urban,Private,10,84,7,Y
Male,Telugu,Andra Pradesh,Urban,Private,9,98,5,Y
Male,Hindi,Delhi,Urban,Private,10,97,2,Y
Male,Hindi,Uttar Pradesh,Rural,Private,6,91.6,6,N
Male,Odia,Odisha,Rural,Private,13.5,86,1,N
Male,Hindi,Maharashtra,Rural,Private,6,59.6,12,N
Male,Hindi,Rajasthan,Rural,Private,13,86,2,N
Male,Hindi,Rajasthan,Urban,Government,15,84,7,Y
Male,Hindi,Delhi,Rural,Private,6,84,1,N
Male,Malayalam,Gujarat,Rural,Private,4,73,2,N
Male,English,Uttar Pradesh,Urban,Private,5,92.4,2,N
Male,Hindi,Tamil Nadu,Urban,Private,5,76,4,Y
Male,Gujarati,Gujarat,Urban,Private,4,72.2,2,N
Female,Hindi,Gujarat,Urban,Private,20,89,4,Y
Male,Hindi,Jammu and Kashmir,Urban,Private,7,94,6,Y
Female,Hindi,Uttar Pradesh,Rural,Private,3,90,3,N
Male,Hindi,Jammu and Kashmir,Urban,Private,6,94.2,3,N
Female,Hindi,Uttar Pradesh,Urban,Private,3,91,8,N
Male,English,Uttarakhand,Urban,Government,6,95.8,14,Y
Female,Hindi,Delhi,Urban,Private,10,81,1,N
Male,Hindi,Rajasthan,Rural,Private,8,91.4,4,Y
Male,Bengali,Uttar Pradesh,Rural,Private,5,87,7,Y
Female,Hindi,Uttar Pradesh,Rural,Private,10,70,2,N
Male,Hindi,Haryana,Urban,Private,6,94.8,4,Y
Male,Hindi,Gujarat,Urban,Private,5.5,95.4,2,N
Male,Hindi,Jammu and Kashmir,Urban,Private,7,91.4,2,N
Male,Hindi,Bihar,Urban,Private,1.5,93.8,2,N
Male,English,Kerala,Urban,Government,5,95,4,Y
Male,Hindi,Delhi,Urban,Private,12,91,1,N
Male,Kashmiri,Jammu and Kashmir,Rural,Private,25,69,2,N
Male,Hindi,Gujarat,Rural,Private,4.88,88.6,3.5,N
Male,Hindi,Delhi,Urban,Government,8,91.8,8,Y
Male,Hindi,Delhi,Rural,Private,5.5,78.2,1,N
Male,Gujarati ,Gujarat,Urban,Private,8,94.6,8,Y
Male,Hindi,Delhi,Rural,Private,3,90.8,3,N
Female,English,Delhi,Urban,Private,7,94,6,Y
Male,Hindi,Delhi,Urban,Private,3,93.8,1,N
Male,Hindi,Rajasthan,Urban,Private,10,91.2,3,N
Male,Hindi,Haryana,Urban,Private,20,86.5,2,N
Female,Hindi,Delhi,Rural,Government,7,71.2,4,N
Male,Hindi,Uttar Pradesh,Urban,Private,100,99.6,10,Y
Male,Hindi,Delhi,Urban,Government,1.2,86.8,7,Y
Male,Hindi,Uttar Pradesh,Urban,Private,1,82,2,N
Female,Hindi,Uttar Pradesh,Urban,Private,6,83,2,N
Male,Hindi,Gujarat,Urban,Private,6,90,4,N
Male,Hindi,Delhi,Urban,Private,12,83,2,N
Male,Hindi,Uttar Pradesh,Rural,Private,2,78,2,N
Male,Hindi,Uttar Pradesh,Rural,Government,8,93.8,2,N
Female,Hindi,Haryana,Urban,Private,5,89.2,6,Y
Male,Hindi,Uttar Pradesh,Urban,Private,3,89,1,N
Female,English,Rajasthan,Urban,Private,6,81,4,N
Male,Hindi,Bihar,Rural,Government,1,71,6,N
Male,Kashmiri,Jammu and Kashmir,Urban,Private,3,96.6,3,Y
Male,Hindi,Uttar Pradesh,Rural,Private,10,82,2,N
Male,Hindi,Delhi,Rural,Government,9,84,2,N
Male,Hindi,Madhya Pradesh,Rural,Private,15,75,2,N
Male,Hindi,Uttar Pradesh,Urban,Private,3.6,96.8,6,Y
Male,Gujarati,Gujarat,Urban,Private,3.5,91.2,6,Y
Male,Hindi,Delhi,Rural,Government,3.2,91,2,N
Male,Hindi,Delhi,Rural,Private,14,95.25,1,N
Male,Hindi,Chattisgarh,Rural,Private,2.16,82,1,N
Male,gujarati,Maharashtra,Rural,Private,5,92.13,4,Y
Male,Bengali,Tamil Nadu,Urban,Private,30,94.8,6,Y
Male,Hindi,Uttar Pradesh,Rural,Private,10,82,1,N
Male,Hindi,Delhi,Rural,Government,2,87.8,3,N
Male,Telugu,Telangana,Rural,Private,1.5,96,2,N
Male,Hindi,Delhi,Rural,Private,9,78,1,N
Male,Hindi,Rajasthan,Rural,Private,9,85.8,1,N
Female,Telugu,Andra Pradesh,Rural,Private,10,98,12,Y
Male,Hindi,Madhya Pradesh,Urban,Private,20,95.6,1,N
Male,Hindi,Uttar Pradesh,Urban,Private,6,94,6,Y
Male,Hindi,Uttar Pradesh,Rural,Private,11,90,1,N
Male,Hindi,Uttar Pradesh,Rural,Private,18,93,2,N
Male,Hindi,Uttar Pradesh,Urban,Private,2.5,85,10,Y
Female,Hindi,Delhi,Urban,Private,6,82,1,N
Female,Hindi,Rajasthan,Urban,Private,5,92,4,N
Female,Hindi,Rajasthan,Urban,Government,2,89,10,Y
Male,Hindi,Delhi,Urban,Private,5,70,1,N
Female,Hindi,Uttar Pradesh,Rural,Private,1,66,2,N
Female,Hindi,Uttar Pradesh,Rural,Private,1,70,2,N
Female,Hindi,Uttar Pradesh,Rural,Private,10,68,2,N
Male,Marathi ,Maharashtra,Urban,Private,15,84,3,N
Male,Hindi,Uttar Pradesh,Urban,Private,7,90.8,1,N
Male,Hindi,Jharkhand,Urban,Private,7,78,6,Y
Female,English,Uttar Pradesh,Urban,Private,9,94,9,Y
Male,Hindi,Delhi,Rural,Private,3,86,2,N
Male,Hindi,Uttar Pradesh,Urban,Private,6,59.6,4,N
Male,Hindi,Uttar Pradesh,Urban,Private,3,86,10,Y
Male,Gujarati ,Haryana,Urban,Private,6,84,7,Y
Male,Hindi,Uttar Pradesh,Urban,Private,10,84,2,N
Male,English,Rajasthan,Urban,Private,8,73,2,N
Female,Hindi,Bihar,Urban,Private,5,92.4,4,Y
Female,Hindi,Jammu and Kashmir,Urban,Government,10,76,2,N
Male,Hindi,Uttar Pradesh,Urban,Private,6,72.2,2,N
Male,Hindi,Delhi,Rural,Private,5.5,89,2,N
Male,Hindi,Madhya Pradesh,Rural,Private,7,94,6,Y
Female,Hindi,Uttar Pradesh,Urban,Private,1.5,90,1,N
Female,Hindi,Gujarat,Urban,Private,5,94.2,4,N
Female,Hindi,Delhi,Urban,Private,12,91,6,Y
